###### Update this every run, make sure other PS values are set to -1! #########
###### 

Run	Type     P_SHMS  Theta_SHMS   P_HMS   Theta_HMS   Target   Ebeam  Current   PS1  PS3  PS5   HMS-Rate(kHz)  SHMS-Rate(kHz)  COIN-Rate(kHz)   Charge(mC)     Raw-coin  SHMS_h_tracking      Comment
6752	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	15.271	12	9	0	22.813		190.621		0.408		53.001		900078.0	0.9293			!91 lambdas
6753	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	15.499	12	9	0	22.219		185.73		0.396		48.472		816522.0	0.9356			!78
6754	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	19.99	12	9	0	22.418		187.403		0.401		78.452		1314567.0	0.9335			!150
6755	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	18.322	12	9	0	22.388		187.174		0.4		73.035		1226157.0	0.9378			!120
6756	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	48.814	13	10	0	48.347		399.991		1.682		184.806		6104518.0	0.8951			!271
6757	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	48.244	13	10	0	48.53		401.352		1.691		157.822		5225548.0	0.8913			!245
6758	Prod	2.583	9.79		-0.968	-21.14		dummy	3.835	39.901	11	8	0	12.781		88.199		0.145		117.457		417579.0	0.9588			!dummy, no Lambda 
6759	Prod	2.583	9.79		-0.968	-21.14		dummy	3.835	32.729	11	8	0	12.474		86.038		0.142		120.516		434821.0	0.9547			!dummy, no Lambda
6760	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	22.25	12	9	0	23.732		198.186		0.44		66.408		1152305.0	0.9301			!96 Lambda events
6761	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	23.67	12	9	0	23.649		197.496		0.438		84.626		1464900.0	0.9374			!118 Lambda events
6762	Prod	2.583	9.79		-0.968	-21.14		LH2	3.835	24.374	12	9	0	23.947		200.002		0.446		86.257		1499964.0	0.9369			!136 Lambda events
